Player Name,Year,Rounds Played in Year,Average Fairway Percentage,Average Driving Distance,Average GIR,Average Putts,Average Scrambling,Average Score,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Top 10 Placements
Brandon Harkins,2018,101,54.79,303.1,65.67,28.86,55.88,70.721,0.225,0.275,0.181,-0.006,-0.124,3
Zecheng Dou,2018,53,54.76,291.9,63.72,30,51.56,72.773,-0.667,-1.198,-0.079,-0.265,-0.187,
Tom Lovelady,2018,87,54.73,315.9,67.08,29.56,52.08,71.252,-0.049,-0.19,0.379,-0.24,-0.279,2
Daniel Summerhays,2018,51,54.69,287.1,56.79,27.82,54.86,73.177,0.736,-2.105,-0.977,-1.586,-0.277,1
Luke List,2018,98,54.66,314.6,68.36,29.45,58.41,70.229,-0.467,0.87,0.795,0.194,0.349,5
Robert Streb,2018,78,54.11,292.6,64.94,29.51,52.89,71.905,-0.081,-0.581,-0.68,0.096,0.084,1
Andrew Yun,2018,51,53.58,290.6,61.85,30.2,44.01,73.624,-0.6,-1.936,-0.457,-0.447,-0.432,
Jimmy Walker,2018,81,53.49,299,61.9,28.34,59.09,70.786,0.324,0.357,-0.437,0.304,0.166,4
Aaron Baddeley,2018,84,53.27,295.3,63.39,28.85,61.09,70.85,-0.057,0.309,-0.345,0.117,0.595,1
Derek Fathauer,2018,84,53.27,289.1,60.35,28.46,54.99,71.827,0.363,-0.807,-0.757,-0.365,-0.048,1
Peter Uihlein,2018,83,52.93,302.2,67.88,29.41,57.87,70.578,0.021,0.268,0.132,-0.04,0.156,4
Phil Mickelson,2018,90,52.91,300.3,64.88,28.11,58.36,70.098,0.51,0.931,-0.225,0.555,0.091,6
Kevin Tway,2018,110,52.61,310.1,66.88,29.15,56.77,70.8,0.052,0.329,0.271,0.032,-0.026,3
Ollie Schniederjans,2018,91,52.22,301.4,62.77,28.44,56.95,70.641,0.325,0.254,-0.41,0.09,0.25,3
Cameron Tringale,2018,67,51.99,289.3,65.52,29.81,55.24,72.146,-0.104,-1.019,-1.351,0.348,0.088,
Ricky Barnes,2018,65,47.15,290.6,63.75,28.25,57.4,71.663,0.338,-0.365,-1.019,0.059,0.257,1
Ryan Armour,2017,63,72.73,278.8,69.96,29.88,58.31,70.965,-0.029,0.107,0.02,0.121,-0.005,1
Boo Weekley,2017,75,71.67,289.9,68.65,30.29,56.31,71.476,-0.954,-0.323,0.634,0.425,-0.429,1
Brian Stuard,2017,93,71.49,272.3,63.59,28.92,57.99,71.72,-0.137,-0.343,-0.34,0.171,-0.164,
Jim Furyk,2017,54,70.75,270.1,65.72,29.36,61.03,71.071,0.187,-0.023,-0.491,0.492,-0.036,1
Chez Reavie,2017,98,70.53,284.8,66.91,28.64,63.28,70.244,0.417,0.762,0.121,0.375,-0.073,3
William McGirt,2017,89,70.06,284.8,67.23,29.61,57.08,71.151,-0.025,-0.067,0.257,-0.193,-0.137,3
Francesco Molinari,2017,75,69.8,291.9,67.22,28.91,62.95,69.802,-0.089,1.418,0.483,0.842,0.128,5
Zac Blair,2017,105,69.7,272.7,64.7,28.87,65.5,71.007,0.035,-0.044,-0.155,-0.141,0.218,1
Søren Kjeldsen,2017,58,69.21,273.6,62.02,29,51.64,71.39,0.473,-0.182,-0.424,-0.09,-0.142,1
Graeme McDowell,2017,56,69.15,279,62.55,28.2,58.52,70.629,0.563,0.572,0.085,-0.036,-0.111,
Jim Herman,2017,77,69.02,292.5,68.07,29.77,56.15,70.931,-0.127,0.368,0.422,0.143,-0.07,2
Ken Duke,2017,77,68.62,274.2,63.69,29.38,56.47,72.078,-0.452,-0.887,-0.179,-0.256,0,
